Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2026,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2637,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
MSitAE-JULY-2026,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7393,0,3469,0,0,105,3677,0,30,0,0,0,478,513,2504,0,0,751
MSitAE-JULY-2026,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,24005,1028,12063,0,0,0,9437,0,189,0,0,0,1233,538,6610,0,0,166
MSitAE-JULY-2026,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,62
MSitAE-JULY-2026,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10600,0,0,0,0,0,4559,0,0,0,0,0,553,428,3094,0,0,1086
MSitAE-JULY-2026,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,3145,0,0,0,0,0,128,0,0,0,0,0,0,0,0,121
MSitAE-JULY-2026,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,19712,0,1935,959,0,136,5420,0,12,203,0,1,1069,324,2465,0,0,624
MSitAE-JULY-2026,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,17089,0,0,0,0,0,2552,0,0,0,0,0,1212,92,2907,0,0,197
MSitAE-JULY-2026,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,9426,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,3640,0,0,240,0,0,51,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,5293,0,0,2068,0,0,33,0,0,7,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,158,0,0,2387,0,0,0,0,0,5,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,638,0,0,3350,0,0,0,0,0,3,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ15,NHS ENGLAND MIDLANDS ,RUTLAND MINOR ILLNESS AND INJURY SERVICE (FORMERLY WLHH PRE-APRIL 2026),0,0,0,0,0,635,0,0,0,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2527,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2888,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
MSitAE-JULY-2026,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",7008,0,1199,0,0,0,2905,0,0,0,0,0,837,92,2083,0,0,380
MSitAE-JULY-2026,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,1584,0,0,0,0,0,131,0,0,0,0,0,0,0,121,0,16
MSitAE-JULY-2026,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
MSitAE-JULY-2026,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,8280,0,1797,0,0,0,3097,0,0,0,0,0,513,423,1579,0,0,569
MSitAE-JULY-2026,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,13921,0,5012,1554,0,114,6492,0,7,719,0,1,1007,222,3243,0,0,1867
MSitAE-JULY-2026,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP TEACHING NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
MSitAE-JULY-2026,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,2296,0,0,34,0,0,108,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2026,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3690,0,0,15,0,0,258,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,G3P9C,NHS ENGLAND SOUTH WEST ,TROWBRIDGE MINOR INJURIES UNIT,0,0,1789,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ10,NHS ENGLAND MIDLANDS ,ENDERBY LEISURE CENTRE,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ11,NHS ENGLAND MIDLANDS ,LUTTERWORTH HOSPITAL,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NQT1I,NHS ENGLAND SOUTH WEST ,CHIPPENHAM COMMUNITY HOSPITAL,0,0,1932,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1661,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1528,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,5037,0,0,555,0,4983,2049,0,0,141,0,3,205,45,2146,0,0,604
MSitAE-JULY-2026,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
MSitAE-JULY-2026,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17260,1979,8678,487,0,0,8566,51,256,218,0,0,872,1057,5204,0,0,2454
MSitAE-JULY-2026,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,10264,0,0,23,0,0,2652,0,0,0,0,0,514,14,3449,0,0,485
MSitAE-JULY-2026,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,8601,0,980,39,0,0,2945,0,0,0,0,0,553,397,1835,0,0,364
MSitAE-JULY-2026,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,10913,0,3676,0,0,606,3264,0,13,0,0,0,853,90,3450,0,0,2723
MSitAE-JULY-2026,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,11493,723,1872,0,0,0,4127,11,0,0,0,0,507,886,2456,0,0,400
MSitAE-JULY-2026,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7933,0,0,1311,0,0,528,0,0,39,0,0,0,0,0,0
MSitAE-JULY-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1936,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5378,0,0,287,0,0,195,0,0,5,0,0,0,0,0,0
MSitAE-JULY-2026,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,14271,0,0,0,0,0,272,0,0,0,0,0,0,0,0,45
MSitAE-JULY-2026,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11881,1252,8317,405,0,0,5016,214,51,171,0,0,710,301,2627,0,20,72
MSitAE-JULY-2026,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,2312,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2026,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4669,0,241,191,0,13,400,0,0,18,0,0,12,0,929,0,0,70
MSitAE-JULY-2026,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,11129,2883,3575,1604,17,0,3791,102,0,345,0,0,653,17,2274,0,0,393
MSitAE-JULY-2026,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,15900,571,8841,549,0,448,8015,0,114,251,0,17,1116,727,4850,0,0,1261
MSitAE-JULY-2026,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6232,973,189,117,0,0,2588,0,0,21,0,0,413,126,1379,0,0,164
MSitAE-JULY-2026,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,11234,0,8936,0,0,0,4054,0,21,0,0,0,505,712,1918,0,0,269
MSitAE-JULY-2026,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1566,0,0,0,0,0,11,0,0,0,0,0,0,0,4,628
MSitAE-JULY-2026,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,14233,0,0,493,0,0,3543,0,0,0,0,0,412,184,1442,0,0,460
MSitAE-JULY-2026,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,9207,0,0,0,0,0,333,0,0,0,0,0,0,0,1,35
MSitAE-JULY-2026,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,15328,0,7026,0,0,0,6799,0,84,0,0,0,839,986,3230,0,0,920
MSitAE-JULY-2026,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,29472,1748,1716,1573,0,549,12345,92,189,504,0,36,893,1090,8373,14,22,1919
MSitAE-JULY-2026,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,10254,0,0,320,0,0,471,0,0,85,0,0,0,0,0,0
